title,genre,overview
Rush Hour 3 (2007),"action, comedy, crime","After a botched assassination attempt, the mismatched duo finds themselves in Paris, struggling to retrieve a precious list of names, as the murderous crime syndicate's henchmen try their best to stop them. Once more, Lee and Carter must fight their way through dangerous gangsters; however, this time, the past has come back to haunt Lee. Will the boys get the job done once and for all?"
Rushmore (1998),"comedy, drama","When a beautiful first-grade teacher arrives at a prep school, she soon attracts the attention of an ambitious teenager named Max, who quickly falls in love with her. Max turns to the father of two of his schoolmates for advice on how to woo the teacher. However, the situation soon gets complicated when Max's new friend becomes involved with her, setting the two pals against one another in a war for her attention."
Russian Doll (2019),"comedy, drama",A young Russian Bride comes to America and becomes stuck in a nightmarish marriage.
RustâEater Bisco (2022),"action, adventure, animation, anime, comedy, fantasy, science fiction","Japan's post-apocalyptic wasteland replete with dust can only be saved by one thing—fungus. Bisco Akaboshi, a wanted criminal and skilled archer, searches for a legendary mushroom, known as Sabikui, said to devour any and all rust. Joining him on this epic saga to save the country is a giant crab and a young doctor. Can this unlikely trio find the fabled fungi and save the land?"
Rye Lane (2023),"comedy, romance","Two twenty-somethings, both reeling from bad break-ups, connect over the course of an eventful day in South London – helping each other deal with their nightmare exes, and potentially restoring their faith in romance."
S.O.S. Survive or Sacrifice (2020),"adventure, thriller","Two sisters living separate lives on different continents are reunited on a Mediterranean Island. The two barely have time to bond and revive family ties as Kate, the elder, meets a group of locals and agrees to an exciting ride on a hot air balloon. But disaster strikes and as the result of a freak accident, the balloon is carried far out to sea. Their cell phones out of range, and the balloon running out of gas, Kate and her friends are battling for their lives. While, back on land, the younger sister, Liz, has become an unwanted ""material witness"" to a crime. Matters then take a dramatic twist, one that will mark their lives forever."
S.W.A.T. (2003),"action, crime, thriller","Hondo Harrelson recruits Jim Street to join an elite unit of the Los Angeles Police Department. Together they seek out more members, including tough Deke Kay and single mom Chris Sanchez. The team's first big assignment is to escort crime boss Alex Montel to prison. It seems routine, but when Montel offers a huge reward to anyone who can break him free, criminals of various stripes step up for the prize."
S.W.A.T.: Firefight (2011),"action, crime, thriller","Los Angeles S.W.A.T. officer, Lt. Paul Cutler, is sent to train the Detroit S.W.A.T. team on new anti-terrorism and homeland security techniques. Cutler has a hard time settling into his assignment as he locks horns with his new captain and encounters resistance from the team he must lead. Cutler begins to adjust to his new assignment, starting a budding romance with police psychologist Kim Byers along the way. Unexpectedly, a routine hostage call turns deadly, and a relentless ex-government agent named Walter Hatch vows revenge on Cutler and the entire S.W.A.T. team for killing the woman he loves. Cutler must use his considerable S.W.A.T. training and knowledge to save his teammates and defeat a trained killer."
SAINT SEIYA: Knights of the Zodiac (2019),"action, adventure, animation, anime, fantasy, science fiction","Seiya and the Knights of the Zodiac rise again to protect the reincarnation of the goddess Athena, but a dark prophecy hangs over them all."
SAKAMOTO DAYS (2025),"adventure, animation, anime","Once the greatest hitman of all, Taro Sakamoto retired in the name of love. But when his past catches up, he must fight to protect his beloved family."
SAS Rogue Heroes (2022),drama,"The dramatised account of how the world's greatest Special Forces unit, the SAS, was formed under extraordinary circumstances in the darkest days of World War Two."
SAS: Red Notice (2021),"action, thriller","An off-duty SAS soldier, Tom Buckingham, must thwart a terror attack on a train running through the Channel Tunnel. As the action escalates on the train, events transpire in the corridors of power that may make the difference as to whether Buckingham and the civilian passengers make it out of the tunnel alive."
SEE HEAR LOVE (2023),romance,"Manga artist ""Shinji Izumoto"" has secured a movie deal. He should be celebrating, but he's going blind, his manga series has been canceled, and he can no longer care for his grandmother. All alone, Shinji makes the devastating decision to jump off a balcony. When ""Hibiki Aida"", a deaf fan of his, saves Shinji, they begin an unusual life together."
SHAMAN KING FLOWERS (2024),"animation, anime","Asakura Hana finds that being the son of Asakura You & Anna isn't all it's cracked up to be, and his boredom has him itching for any kind of excitement. But when a fight comes straight to his doorstep, it's from a place he least expects—his own family? The battle for Asakura supremacy begins!"
SHARE? (2023),"science fiction, thriller","A man awakens stripped of all of his possessions and trapped in a bare room. Aided by a primitive computer, he must learn to survive in his new isolated existence where entertainment is the only currency."
SHE Must Be Obeyed (2023),drama,The story of Victoria's insatiable ambition to rise in the entertainment industry following her training as a personal assistant to a high-powered executive.
SHOSHIMIN: How to Become Ordinary (2024),"animation, anime, mystery","Kobato decides to become an honest, humble citizen after enduring a bitter experience known as ""wisdom work."" He forms a pact with Osanai, his classmate with the same goal, and they plan to enter high school leading quiet lives. But for some reason, inexplicable events and disasters keep happening around them. Will Kobato and Osanai ever manage to live ordinary, peaceful lives?"
SHY (2023),"action, adventure, animation, anime, fantasy, science fiction",An adaptation of social worker and freedom fighter Sane Guruji's autobiographical novel Shyamchi Aai.
SKY Castle (2018),drama,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.
SLR (2022),"horror, mystery, thriller",A photography major assigned to take pictures with a mysterious camera causes catastrophic consequences to the subjects captured by its lens.
SPY x FAMILY (2022),anime,"World peace is at stake and secret agent Twilight must undergo his most difficult mission yet—pretend to be a family man. Posing as a loving husband and father, he'll infiltrate an elite school to get close to a high-profile politician. He has the perfect cover, except his wife's a deadly assassin and neither knows each other's identity. But someone does: his adopted daughter, who's a telepath!"
SPY x FAMILY CODE: White (2023),"action, adventure, animation, comedy","While under the guise of taking his family on a weekend winter getaway, Loid's attempt to make progress on his current mission Operation Strix proves difficult when Anya mistakenly gets involved and triggers events that threaten world peace."
SWORD GAI: The Animation (2018),"action, adventure, animation, anime, fantasy, science fiction","The swordsmith Amon accidentally comes across an infant and its dead mother in the forest. Although he is initially overwhelmed by the situation, he finally decides to take the boy with him and thus save him from certain death. Ten years after this fateful encounter, the boy from that time, Gai, is apprenticed to Amon. While making a sword, however, there is a tragic accident in which Gai loses his right arm. Amon then decides to use a sword called Shiryuu to make an artificial arm for Gai. Thus, it begins…"
"Sacchan, Boku wa. (2024)",drama,"Dear Sa-chan, if only I'd had sex with you that time, perhaps I wouldn't have wandered down this disastrous path. A story of true love and its downfall, brought to life by an unconventional protege."
Sacrificial Princess and the King of Beasts (2023),"animation, anime, drama, fantasy, science fiction","One hundred years ago, a grave tradition was born in a land where demons live among people: a human must be sacrificed to the King of Beasts. But when Sariphi, the 99th sacrifice, is offered to the King, she isn't afraid at all! Intrigued by her calm and cute nature, the King decides to spare her life with plans to make her his bride."
Safe (2012),"action, crime, thriller","After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police."
Safe (2018),"crime, drama",Three masked intruders break into a Woman's home to retrieve an item from her safe. But what they get is much more than they bargained for.
Safe House (2012),"action, thriller","A dangerous CIA renegade resurfaces after a decade on the run. When the safe house he's remanded to is attacked by mercenaries, a rookie operative escapes with him. Now, the unlikely allies must stay alive long enough to uncover who wants them dead."
Safety (2020),"drama, family","The story of Ray-Ray McElrathbey, a freshman football player for Clemson University, who secretly raised his younger brother on campus after his home life became too unsteady."
Sahara (2005),"action, adventure, comedy, drama, mystery","Seasoned adventurer and treasure hunter Dirk Pitt, a former Navy SEAL, sets out for the African desert with his wisecracking buddy Al in search of a confederate ironclad battleship rumored to have vanished long ago, the main draw being the treasure supposedly hidden within the lost vessel. When the daring duo come across Dr. Eva Rojas, a beautiful scientist who is juggling an escape from a warlord and a mission to stop the spread of a powerful plague, their desert expedition begins to heat up."
Sailor Moon Crystal (2014),"animation, anime, fantasy, science fiction",Usagi Tsukino is chosen to be a guardian of justice and is sent on a quest to locate a Silver Crystal before the Dark Kingdom invades the Earth.
Saint Cecilia and Pastor Lawrence (2023),"animation, anime, comedy, drama","Saint Cecilia is beloved by the townspeople—not only is she elegant and composed, she benevolently shares her wisdom with all who seek it. That is, until the last person has left—at which point she becomes totally hopeless! Only Pastor Lawrence, is keeping the Saint put together enough to do her duties...and though she may test him, it's all in a day's work!"
Saint Maud (2020),"drama, horror","Having recently found God, self-effacing young nurse Maud arrives at a plush home to care for Amanda, a hedonistic dancer left frail from a chronic illness. When a chance encounter with a former colleague throws up hints of a dark past, it becomes clear there is more to sweet Maud than meets the eye."
Sakra (2023),"action, drama","Qiao Feng is the respected leader of a roving band of martial artists. After he is wrongfully accused of murder and subsequently exiled, Qiao Feng goes on the run in search of answers about his own mysterious origin story—and the unknown enemies working to destroy him from the shadows."
Sakuna: Of Rice and Ruin (2024),"adventure, animation, anime, fantasy, science fiction","Two realms exist in the ancient land of Yanato: the Lofty Realm, where gods reside, and the Lowly Realm, where humans reside. Princess Sakuna was the daughter of the god of war and goddess of harvest, but she led a lazy life. One day, she is banished to Hinoe Island, the Isle of Demons. Stranded in a barren land, Sakuna sets out to slay demons and farm rice. Her new adventure begins!"
Salaar: Part 1 â Ceasefire (2023),"action, crime, thriller","Set in the fictional dystopian city-state of Khansaar, the film follows the friendship between Deva, a tribesman, and Varadha, the prince of Khansaar. When a coup d'état is planned by his father's ministers and his relatives, Varadha enlists Deva's help to become Khansaar's undisputed ruler."
Salem's Lot (2024),horror,Author Ben Mears returns to his childhood home of Jerusalem's Lot only to discover his hometown is being preyed upon by a bloodthirsty vampire.
Salt (2010),"action, thriller","As a CIA officer, Evelyn Salt swore an oath to duty, honor and country. Her loyalty will be tested when a Russian defector accuses her of being a Russian sleeper spy. She goes on the run, using all her skills and years of experience as a covert operative to elude capture, protect her husband, and stay one step ahead of her colleagues at the CIA. Her efforts to prove her innocence only serve to cast doubt on her motives, as the hunt to uncover the truth behind her identity continues and the question remains: ""Who is Salt?"""
Saltburn (2023),"comedy, drama, thriller","Struggling to find his place at Oxford University, student Oliver Quick finds himself drawn into the world of the charming and aristocratic Felix Catton, who invites him to Saltburn, his eccentric family's sprawling estate, for a summer never to be forgotten."
Sam & Cat (2013),comedy,"Progeria is a rare, fatal genetic condition that causes accelerated aging in children; its young victims rarely live past 13. This moving documentary explores the remarkable world of Sam Berns and the relentless pursuit of a treatment and cure by his parents (both doctors) to save their son from the disease."
Samaritan (2022),"action, fantasy, science fiction","Thirteen year old Sam Cleary suspects that his mysteriously reclusive neighbor Mr. Smith is actually the legendary vigilante Samaritan, who was reported dead 25 years ago. With crime on the rise and the city on the brink of chaos, Sam makes it his mission to coax his neighbor out of hiding to save the city from ruin."
Samurai Marathon (2019),drama,"When feudal lord Itakura Katsuakira decides to prepare his samurai troops for the onslaught of modernization by having them compete in a marathon, his independent-minded daughter Yuki secretly joins the race."
San Andreas (2015),"action, drama, thriller","In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey across the state in order to rescue his estranged daughter."
Sanctuary (2023),drama,"Confined to a claustrophobic hotel room, the heir to a hotel empire and the dominatrix who has primed him for success become locked in a battle of wits and wills as he tries to end his relationship with her."
Sanctuary (2023),thriller,"Confined to a claustrophobic hotel room, the heir to a hotel empire and the dominatrix who has primed him for success become locked in a battle of wits and wills as he tries to end his relationship with her."
Sanctum (2011),"action, thriller","Master diver Frank McGuire has explored the South Pacific's Esa-ala Caves for months.  But when his exit is cut off in a flash flood, Frank's team—including 17-year-old son Josh and financier Carl Hurley are forced to radically alter plans.  With dwindling supplies, the crew must navigate an underwater labyrinth to make it out."
Sand Land: The Series (2024),"adventure, animation, anime, fantasy, science fiction","Sand Land is a mysterious world where demons and humans eke out an existence in a barren desert wasteland. In hopes of replenishing their water supply, Fiend Prince Beelzebub, a demon named Thief, and a human named Sheriff Rao team up and embark on a journey in search of the Legendary Spring."
Santa Clarita Diet (2017),"comedy, mystery",They're ordinary husband and wife realtors until she undergoes a dramatic change that sends them down a road of death and destruction. In a good way.
Santo (2022),"crime, drama",Views from Ribeirao Preto to Santo Antonio da Alegria.
Sarileru Neekevvaru (2020),"action, comedy, drama",A tough army major is deployed to Kurnool on a mission to keep the country safe from external threats.
Sasaki and Miyano (2022),"animation, anime, comedy",A stage adaptation of the manga. One summer day Miyano encounters a fight taking place behind the shool gym. Before he can muster up the courage to stop them his slightly delinquent senior Sasaki takes his place. Since that day he has found himself attracted to Sasaki for some reason...
Sasaki and Miyano: Graduation (2023),romance,"As Sasaki prepares for his college entrance exams, Miyano tries to make the most of their limited time together while grappling with his own emotions."
Sausage Party (2016),"adventure, animation, comedy, fantasy",Hot dog Frank leads a group of supermarket products on a quest to discover the truth about their existence and what really happens when they become chosen to leave the grocery store.
Sausage Party: Foodtopia (2024),"animation, fantasy, science fiction","After killing off all of humanity, Food attempts to create their own utopia."
Savage Beauty (2022),drama,"Seeking revenge for her tragic past, a mysterious woman embeds herself in a powerful family who possess a global beauty empire — and dark secrets."
"Saving 80,000 Gold in Another World for My Retirement (2023)","action, adventure, animation, anime, fantasy, science fiction","One day, Mitsuha falls off a cliff and is transported to a medieval Europe–type world! After a near-death encounter with a pack of wolves, she then realizes that she's able to transport between two worlds—this one and her own. Taking advantage of this ability, Mitsuha decides to live in both worlds and calculates that she'll need 80,000 gold coins to be able to retire! Mitsuha now has to come up with different ways to collect her gold coins!"
Saving Bikini Bottom: The Sandy Cheeks Movie (2024),"adventure, animation, comedy, family","When Bikini Bottom is scooped from the ocean, scientific squirrel Sandy Cheeks and her pal SpongeBob SquarePants saddle up for Texas to save their town."
Saving Leningrad (2019),"action, drama","September, 1941. In a turn of events, young lovebirds Kostya and Nastya find themselves on board a barge that will evacuate people from the sieged Leningrad. At night the barge gets into the storm. When it starts sinking, enemy planes — but not rescuers — were the first to arrive at the scene."
Saving Private Ryan (1998),drama,"As U.S. troops storm the beaches of Normandy, three brothers lie dead on the battlefield, with a fourth trapped behind enemy lines. Ranger captain John Miller and seven men are tasked with penetrating German-held territory and bringing the boy home."
Saw (2004),"crime, horror, mystery","Two men wake up to find themselves shackled in a grimy, abandoned bathroom. As they struggle to comprehend their predicament, they discover a disturbing tape left behind by the sadistic mastermind known as Jigsaw. With a chilling voice and cryptic instructions, Jigsaw informs them that they must partake in a gruesome game in order to secure their freedom."
Saw 3D (2010),"crime, horror","As a deadly battle rages over Jigsaw's brutal legacy, a group of Jigsaw survivors gathers to seek the support of self-help guru and fellow survivor Bobby Dagen, a man whose own dark secrets unleash a new wave of terror."
Saw II (2005),horror,"The chilling and relentless Jigsaw killer returns to terrorize the city once again. When a gruesome murder victim emerges with unmistakable traces of Jigsaw's sinister methods, Detective Eric Matthews is thrust into a high-stakes investigation. To his surprise, apprehending Jigsaw seems almost too easy, but what he doesn't realize is that being caught is merely another piece of Jigsaw's intricate puzzle."
Saw III (2006),"crime, horror, thriller","Jigsaw has disappeared. Along with his new apprentice Amanda, the puppet-master behind the cruel, intricate games that have terrified a community and baffled police has once again eluded capture and vanished. While city detective scrambles to locate him, Doctor Lynn Denlon and Jeff Reinhart are unaware that they are about to become the latest pawns on his vicious chessboard."
Saw IV (2007),"crime, horror, thriller","Despite Jigsaw's death, and in order to save the lives of two of his colleagues, Lieutenant Rigg is forced to take part in a new game, which promises to test him to the limit."
Saw V (2008),"crime, horror, thriller","Following Jigsaw's grisly demise, Detective Mark Hoffman is commended as a hero, but Agent Strahm is suspicious, and delves into Hoffman's past. Meanwhile, another group of people are put through a series of gruesome tests."
Saw VI (2009),"horror, mystery","Special Agent Strahm is dead, and Detective Hoffman has emerged as the unchallenged successor to Jigsaw's legacy. However, when the FBI draws closer to Hoffman, he is forced to set a game into motion, and Jigsaw's grand scheme is finally understood."
Saw X (2023),"horror, thriller","Between the events of 'Saw' and 'Saw II', a sick and desperate John Kramer travels to Mexico for a risky and experimental medical procedure in hopes of a miracle cure for his cancer, only to discover the entire operation is a scam to defraud the most vulnerable. Armed with a newfound purpose, the infamous serial killer returns to his work, turning the tables on the con artists in his signature visceral way through devious, deranged, and ingenious traps."
Say Yes Again (2022),romance,"When Luke proposes to Cai and hears a simple word ""Sorry,"" he wakes up finding himself shaking on his bed. Luke tries again but is forced to return to the same morning of his proposal due to the repeated rejection."
Sayen (2023),"action, thriller","Sayen is hunting down the men who murdered her grandmother. Using her training and knowledge of nature, she is able to turn the tables on them, learning of a conspiracy from a corporation that threatens her people's ancestral lands."
Sayen: Desert Road (2023),"action, thriller","Sayen follows a lead to the picturesque desolation of the Atacama Desert. There, she reluctantly teams up with a young Atacameño girl, Quimal, looking to clear her father's name and save her town from becoming an arid wasteland due to Acteon's exploitative water usage."
Sayen: The Huntress (2024),"action, thriller","Realizing that she cannot take down Fisk alone, Sayen teams up with an underground resistance group with a plan to expose and end Fisk's unchecked plundering once and for all."
Scarface (1983),"action, crime, drama, thriller","After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall."
Scarlet Heart: Ryeo (2016),"drama, fantasy, science fiction",A story of a 25-year-old Go Hajin who is transported back in time to the Goryeo Dynasty. She then wakes up in the body of Lady Hae Soo and finds herself amongst the ruling princes of the Wang Family.
Scarlet Hill (2022),"adventure, crime, drama, mystery","A businessman brings his fiancée and her young son to a scenic resort, and quickly finds himself embroiled in a murder investigation."
Scarlet Nexus (2021),"action, adventure, animation, anime, fantasy, science fiction","Saved by the Other Suppression Force as a child, psychokinetic Yuito enlists in this elite team formed to fight Earth's enemy. Meanwhile, prodigy Kasane was scouted for her abilities. Kasane's dreams tell her strange things, dragging the two into an unavoidable fate."
Scary Movie (2000),comedy,"A familiar-looking group of teenagers find themselves being stalked by a more-than-vaguely recognizable masked killer! As the victims begin to pile up and the laughs pile on, none of your favorite scary movies escape the razor-sharp satire of this outrageously funny parody!"
Scary Movie 2 (2001),comedy,"While the original parodied slasher flicks like Scream, Keenen Ivory Wayans's sequel to Scary Movie takes comedic aim at haunted house movies. A group of students visit a mansion called ""Hell House,"" and murderous high jinks ensue."
Scary Movie 3 (2003),comedy,"In the third installment of the Scary Movie franchise, news anchorwoman Cindy Campbell has to investigate mysterious crop circles and killing video tapes, and help the President stop an alien invasion in the process."
Scary Movie 4 (2006),comedy,"Cindy finds out the house she lives in is haunted by a little boy and goes on a quest to find out who killed him and why. Also, Alien ""Tr-iPods"" are invading the world and she has to uncover the secret in order to stop them."
Scary Movie 5 (2013),comedy,"Home with their newly-formed family, happy parents Dan and Jody are haunted by sinister, paranormal activities. Determined to expel the insidious force, they install security cameras and discover their family is being stalked by an evil dead demon."
Scary Stories to Tell in the Dark (2019),"fantasy, horror","Mill Valley, Pennsylvania, Halloween night, 1968. After playing a joke on a school bully, Stella and her friends decide to sneak into a supposedly haunted house that once belonged to the powerful Bellows family, unleashing dark forces that they will be unable to control."
Scavengers Reign (2023),"animation, drama, fantasy, science fiction",When a deep space freighter is damaged by a solar flare its surviving crew are stranded on a beautiful and unforgiving planet. They begin to learn the true nature of this planet as they try to survive long enough to escape or be rescued.
Scenes from a Marriage (2021),drama,"Johan and Marianne are married and seem to have it all. Their happiness, however, is a façade for a troubled relationship, which becomes even rockier when Johan admits that he's having an affair. Before long, the spouses separate and move towards finalizing their divorce, but they make attempts at reconciling. Even as they pursue other relationships, Johan and Marianne realize that they have a significant bond, but also many issues that hinder that connection."
Scent of Time (2023),drama,A young woman's plan to marry the heir to a Chinese incense empire leads to her family's ruin...until she gets a second chance to right her wrongs.
Schindler's List (1993),drama,The true story of how businessman Oskar Schindler saved over a thousand Jewish lives from the Nazis while they worked as slaves in his factory during World War II.
Schitt's Creek (2015),comedy,"Formerly filthy rich video store magnate Johnny Rose, his soap star wife Moira, and their two kids, über-hipster son David and socialite daughter Alexis, suddenly find themselves broke and forced to live in Schitt's Creek, a small depressing town they once bought as a joke."
School 2017 (2017),drama,"Bernadinho and Pedro are students and face the classic tasks of fulfilling school obligations, taking good grades, being well behaved and complying with school rules, increasingly elaborated thanks to director Ademar. Frustrated, Pedro ends up finding a diary of how to cause chaos in school without being caught, which leads the two friends to follow the tips of the notebook."
School 2021 (2021),drama,"A beautiful school is about to reopen after many years and Luì and Sofì (Me against You) are the special guests of the inauguration party, their friend Pongo awaits them there. The school, however, could hide a mystery and, once again, the Me against You will have to face the evil Mr. S with courage and try to sabotage his evil plans in the name of friendship. In the school, for the first time, Luì and Sofì could learn an important secret about their past. A new ""magical"" adventure in the cinema for Luì and Sofì, in a world of magic, with lots of surprises and fun for their little fans and all families."
School Spirits (2023),drama,"Maddie, a teen stuck in the afterlife investigating her own disappearance, goes on a crime-solving journey as she adjusts to high school purgatory."
School Tales the Series (2022),"drama, mystery",Unspeakable horrors roam the halls of high school in this anthology featuring ghost stories directed by seasoned Thai horror directors.
School of Rock (2003),"comedy, family","Fired from his band and hard up for cash, guitarist and vocalist Dewey Finn finagles his way into a job as a fifth-grade substitute teacher at a private school, where he secretly begins teaching his students the finer points of rock 'n' roll. The school's hard-nosed principal is rightly suspicious of Finn's activities. But Finn's roommate remains in the dark about what he's doing."
Scissor Seven (2018),"adventure, animation, comedy, drama","Seeking to recover his memory, a scissor-wielding, hairdressing, bungling quasi-assassin stumbles into a struggle for power among feuding factions."
Scoob! (2020),"adventure, animation, comedy, family, mystery","In Scooby-Doo's greatest adventure yet, see the never-before told story of how lifelong friends Scooby and Shaggy first met and how they joined forces with young detectives Fred, Velma, and Daphne to form the famous Mystery Inc. Now, with hundreds of cases solved, Scooby and the gang face their biggest, toughest mystery ever: an evil plot to unleash the ghost dog Cerberus upon the world. As they race to stop this global ""dogpocalypse,"" the gang discovers that Scooby has a secret legacy and an epic destiny greater than anyone ever imagined."
Scooby-Doo (2002),"adventure, comedy, mystery","When the Mystery Inc. gang is invited to Spooky Island, a popular amusement park, they soon discover that the attractions aren't the only things that are spooky. Strange things are happening, and it's up to Scooby, Shaggy, Fred, Daphne, and Velma to uncover the truth behind the mysterious happenings."
Scooby-Doo 2: Monsters Unleashed (2004),"adventure, comedy, fantasy, mystery","After solving their last mystery at Spooky Island, the Mystery Inc. gang is back in Coolsville, where they are being honored with their very own exhibit at the Coolsonian Criminology Museum. However, when a masked villain steals costumes of classic monsters on display and brings them to life, the gang must come out of retirement to solve the case."
Scooby-Doo on Zombie Island (1998),"adventure, animation, comedy, family, fantasy, mystery","After going their separate ways, Scooby-Doo, Shaggy, Velma, Daphne, and Fred reunite to investigate the ghost of Moonscar the pirate on a haunted bayou island, but it turns out the swashbuckler's spirit isn't the only creepy character on the island. The sleuths also meet up with cat creatures and zombies... and it looks like for the first time in their lives, these ghouls might actually be real."
Scooby-Doo! & Batman: The Brave and the Bold (2018),"action, animation, comedy",Scooby-Doo and the Mystery Inc. gang meet up with Batman and other friends to defeat evil villains and save the day.
"Scooby-Doo! And Krypto, Too! (2023)","comedy, family, mystery","When the Justice League goes missing and villains overrun Metropolis, there's only one team that can solve this mystery: Scooby-Doo and the gang! But wait, there's a new dog in town – Krypto – Superman's Superdog with Super Powers. Mystery Inc. will need all the help it can get when phantoms menace the Justice League's headquarters."
Scooby-Doo! Frankencreepy (2014),"animation, family, mystery","Velma discovers she's inherited her great-great-uncles' cursed castle in Transylvania, Pennsylvania. The team decide to go there on a spooky adventure."
Scooby-Doo! Legend of the Phantosaur (2011),"animation, family, mystery","A relaxing spa getaway evolves into a prehistoric panic when Scooby-Doo and the gang uncover the horrible Phantosaur, an ancient legend come to life to protect hidden treasures buried in secret desert caves. But this scare-a-saurus doesn't stand a chance with Shaggy around, after he finds his inner hero with the help of new-age hypnosis. Like, it makes him more brave and less hungry!"
Scooby-Doo! Music of the Vampire (2012),"adventure, animation, comedy, family, fantasy, mystery","Scooby and the gang have their first musical mystery in ""Scooby Doo: Music of the Vampire."" It begins when they take a sing-a-long road trip into bayou country to attend the ""Vampire-Palooza Festival"" – an outdoor fair dedicated to all things Draculian. At first it looks as if they're in for some fun and lots of Southern snacks, but events soon turn scary when a real live vampire comes to life, bursts from his coffin and threatens all the townsfolk. On top of that, this baritone blood sucker seems intent on taking Daphne as his vampire bride! Could the vampire be a descendant of a famous vampire hunter who is trying to sell his book? Or perhaps he's the local politician, who has been trying to make his name in the press by attacking the vampires as downright unwholesome. The answers are to be found in a final song-filled showdown in the swamp in which our heroes unmask one of their most macabre monsters yet."
Scooby-Doo! Return to Zombie Island (2019),"animation, comedy, family, fantasy","Scooby-Doo and his pals win an all-expense paid vacation and embark on a trip of a lifetime to a tropical paradise. Their destination however, turns out to be Zombie Island. As soon as they arrive, they realize the place looks strangely familiar and is reminiscent of a trip they took years ago, in which they became wrapped up in a mystery involving zombies. The gang soon learns that their trip to paradise comes with a price when the zombies re-emerge and attack their hotel. Will Scooby-Doo and the Mystery Inc. gang finally solve the mystery behind Zombie Island?"
Scooby-Doo! Shaggy's Showdown (2017),"animation, comedy, family","When the Scooby gang visits a dude ranch, they discover that it and the nearby town have been haunted by a ghostly cowboy, Dapper Jack, who fires real fire from his fire irons. The mystery only deepens when it's discovered that the ghost is also the long lost relative of Shaggy Rogers!"
Scooby-Doo! Stage Fright (2013),"adventure, animation, family","Join Scooby-Doo, Shaggy and the Mystery Inc. crew as they head to Chicago for Talent Star, a hit talent show in which Fred and Daphne are finalists with some high hopes. Unlucky for them, the competition is frightful as the show is being broadcast from an opera house with a history of horrors and a particularly vengeful phantom that has cursed the show's production."
Scooby-Doo! The Mystery Begins (2009),"animation, comedy, fantasy, mystery","Unjustly accused of staging a spooky practical joke complete with ghosts, Daphne, Velma, Fred and Shaggy are suspended from Coolsville High. To clear their names, they team up to solve the supernatural mystery…and head straight into nonstop laughs and adventure."
Scooby-Doo! WrestleMania Mystery (2014),"animation, comedy, family, mystery","The mystery begins when Shaggy and Scooby win tickets to ""WrestleMania"" and convince the crew to go with them to WWE City. But this city harbors a spooky secret - a ghastly Ghost Bear holds the town in his terrifying grip! To protect the coveted WWE Championship Title, the gang gets help from WWE Superstars like John Cena, Triple H, Sin Cara, Brodus Clay, AJ Lee, The Miz and Kane. Watch Scooby and the gang grapple with solving this case before it's too late."
Scooby-Doo! and Kiss: Rock and Roll Mystery (2015),"animation, comedy, family","Get ready to Rock! Scooby-Doo and the Mystery Inc. Gang team up with the one and only KISS in this all-new, out-of-this-world adventure! We join the Gang at KISS World – the all-things-KISS theme park, as they investigate a series of strange hauntings. With help from KISS, they discover that the Crimson Witch has returned to summon The Destroyer from the alternate dimension of Kissteria! The evil duos ghastly plan, to destroy the earth! Can the Gang's cunning and KISS's power of rock save the day?!"
Scooby-Doo! and WWE: Curse of the Speed Demon (2016),"adventure, animation, comedy","When Scooby and Mystery Inc. visit an off-road racing competition, it's not long before strange events start to occur. A mysterious phantom racer, known only as Inferno, is causing chaos and is determined to sabotage the race. It's up to Scooby-Doo, Shaggy and their new driving partner, The Undertaker, to save the race and solve the mystery."
Scooby-Doo! and the Curse of the 13th Ghost (2019),"adventure, animation, comedy, family","Mystery Inc. withdraws from solving crimes after botching a case. When Vincent Van Ghoul contacts the gang about an unfinished investigation from Daphne, Shaggy and Scooby's past, the gang springs into action to finish the job that involves catching the 13th Ghost that escaped from the Chest of Demons and is still at large."
Scooby-Doo! and the Gourmet Ghost (2018),"adventure, animation, crime","The Scooby gang visits a culinary resort run by Fred's uncle, Bobby Flay. While enjoying the sights, a ghost attacks the guests and destroys the resort, leaving the gang to put a stop to its threat."
Scoop (2023),"crime, drama","An insider account of how the women of ""Newsnight"" secured Prince Andrew's infamous 2019 interview about his friendship with convicted sex offender Jeffrey Epstein."
Scott Pilgrim Takes Off (2023),"action, adventure, animation, comedy, fantasy, science fiction","Scott Pilgrim meets the girl of his dreams, Ramona Flowers, only to find out her seven evil exes stand in the way of their love."
Scott Pilgrim vs. the World (2010),"action, comedy, fantasy, romance","As bass guitarist for a garage-rock band, Scott Pilgrim has never had trouble getting a girlfriend; usually, the problem is getting rid of them. But when Ramona Flowers skates into his heart, he finds she has the most troublesome baggage of all: an army of ex-boyfriends who will stop at nothing to eliminate him from her list of suitors."
